open,closed,high,low,index
457.0,455.93,457.0,454.39,0
456.48,456.35,458.355,456.135,1
456.1,458.19,458.705,455.8861,2
457.97,457.54,459.38,456.73,3
457.28,457.97,458.25,456.94,4
458.03,456.81,458.64,456.51,5
456.69,458.43,458.49,456.185,6
458.42,458.42,458.42,458.42,7
