open,closed,high,low,index
52.39,52.03,52.39,51.94,0
52.0,51.87,52.05,51.83,1
51.87,51.84,51.98,51.81,2
51.84,51.715,51.885,51.675,3
51.71,51.625,51.75,51.57,4
51.6258,51.385,51.63,51.36,5
51.38,51.62,51.73,51.36,6
51.63,52.6175,52.6175,51.63,7
