open,closed,high,low,index
149.49,149.52,149.935,149.21,0
149.52,149.21,149.56,149.01,1
149.21,149.58,149.61,149.18,2
149.56,149.17,149.65,149.08,3
149.16,149.62,149.63,149.12,4
149.59,149.98,150.005,149.28,5
149.98,149.62,150.15,149.525,6
149.63,149.6,149.63,149.6,7
