open,closed,high,low,index
116.06,116.06,116.06,116.06,0
115.72,115.0,115.72,115.0,1
115.9741,114.96,115.9741,114.8,2
115.14,113.075,115.9618,112.7821,3
113.17,113.33,114.55,112.7006,4
113.29,113.28,114.54,112.94,5
113.32,113.11,113.33,112.4,6
113.12,114.1,114.5263,112.8701,7
114.1,114.56,114.56,113.8101,8
114.545,114.58,115.23,114.2301,9
114.61,114.03,114.61,114.03,10
114.58,114.58,114.58,114.58,11
114.83,114.84,114.84,114.83,12
