open,closed,high,low,index
57.98,57.31,57.98,57.28,0
57.28,57.45,57.51,57.23,1
57.455,57.73,57.87,57.39,2
57.705,57.4,57.705,57.385,3
57.44,57.4,57.61,57.34,4
57.42,57.425,57.46,57.27,5
57.41,56.96,57.47,56.96,6
56.98,56.98,56.98,56.98,7
