open,closed,high,low,index
9.22,9.22,9.22,9.22,0
9.22,9.18,9.22,9.04,1
9.0687,9.23,9.23,9.0687,2
9.24,9.315,9.335,9.22,3
9.32,9.275,9.34,9.275,4
9.275,9.295,9.31,9.275,5
9.295,9.305,9.31,9.29,6
9.305,9.32,9.325,9.29,7
9.32,9.28,9.32,9.27,8
9.28,9.225,9.28,9.22,9
9.23,9.23,9.23,9.23,10
9.29,9.29,9.29,9.29,11
